CarparkValue,latitude,longitude,Carpark_Number,dist
342,1.3664071280973518,103.85527878732958,A36,13.34805669791233
1847,1.3705581670513376,103.85924660891077,A47,13.329494135021163
895,1.3807695117170868,103.93864139053586,PM35,10.33083661003974
926,1.319353617788409,103.74917540107634,P14,22.196002975504793
1775,1.3198348225460357,103.74814817657057,P15,22.31721056193666
1117,1.3188214674823946,103.74738396670357,P17,22.383714883564604
48,1.3508262061118326,103.94331698509669,T11,6.9728551134422245
1412,1.3478163316444631,103.94364671149783,T9,6.636723281193591
410,1.3110149396716515,103.76704166044892,C21L,20.09801974093623
738,1.3694707392934409,103.83437534502292,A51,15.38468122085609
1038,1.3688861979339544,103.83453102382204,AM19,15.332533577757388
684,1.4401825671937185,103.77634762861848,W8M,25.357951226564534
1890,1.3801473409462486,103.7425446222554,CK14,24.861608705543983
1845,1.2933224327438246,103.80758222567272,SMM,15.439673694580637
1281,1.4457460247850311,103.79733590276848,W103,24.11528145461374
1855,1.4450222780478066,103.79733673907886,W109,24.05678800867462
279,1.443304601667167,103.79557899104884,W75,24.054433330305166
753,1.444494152740706,103.79143331679909,W53,24.4717466360446
360,1.4426259357840838,103.80191604139247,W72,23.513575136321123
1494,1.443310883261372,103.80376969030848,W73,23.429327480698767
531,1.3519908804356835,103.93143000035806,T49,7.285301398381376
499,1.351415214205708,103.93341841093547,T49A,7.175463524277046
109,1.372934646075174,103.95452048873392,PR4,9.467796135776478
902,1.2757430581846363,103.82068963521876,TBC2,14.040327682733555
637,1.4174854795035818,103.83859933016724,Y32,18.715722050148926
903,1.4166643684962663,103.83674085042276,Y31,18.779090994765337
799,1.3840337588241158,103.76838389812862,BJ19,22.47571988255605
711,1.378426209706327,103.74091199127932,CK15,24.949595109890602
345,1.3807326977622554,103.75310558123016,CK6,23.824132105316487
38,1.3810353919401923,103.75313692680965,CK6A,23.835552367424903
1505,1.321204214426874,103.74835585800412,P11,22.31893873335591
1290,1.373224586883511,103.93838698872838,PM46,9.497340360604266
1850,1.3786638473853423,103.90178514726767,HG1A,11.214507952435463
1470,1.3661185477855309,103.88760385900282,HG36,10.850973707202439
1651,1.3708718261552026,103.89070311870574,HG53,11.081686763779635
1056,1.3712032514493229,103.89012226012038,HG56,11.148377398641477
674,1.3741901308817628,103.87906751297731,HG80,12.141209552642215
1376,1.4183964969784908,103.84459591428704,Y68M,18.375820702369044
758,1.4177611354207773,103.8435853001647,Y68L,18.38979044528907
378,1.4341060425225822,103.80011427959636,W90,22.971909833601334
1274,1.4351059455726942,103.8011645045016,W91,22.968383934121135
1620,1.2805131560457623,103.8115434919542,DRM1,15.013166363985137
685,1.2808383769937857,103.80986791310714,DRM3,15.197198793558947
